# needle probe, 25m_base_w2 (ckpt_scale_bytes_d256.pt, bytes, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle; NEEDLES=banana,purple,rocket,pencil,tiger,window,silver,castle,honey,lantern SEED=0
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         2.26     12.58  10.32       6/10
     inf    64         3.92     13.83   9.91       1/10
     inf   128         4.56     13.57   9.00       0/10
     inf   256         6.90     14.50   7.60       0/10
     inf   384         8.03     14.69   6.66       0/10
     inf   600        24.34     23.49  -0.85       0/10
     inf  1024        24.55     25.03   0.48       0/10
     480     0         2.26     12.58  10.32       6/10
     480    64         3.92     13.83   9.91       1/10
     480   128         4.56     13.57   9.00       0/10
     480   256         6.90     14.50   7.60       0/10
     480   384         8.03     14.69   6.66       0/10
     480   600        13.48     13.51   0.03       0/10
     480  1024        14.78     14.78   0.00       0/10
