# needle probe, bpe25m_base_w2 (ckpt_scale_bpe_d256.pt, bpe8k, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle; NEEDLES=banana,purple,rocket,pencil,tiger,window,silver,castle,honey,lantern SEED=1
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         7.49     13.58   6.09       0/10
     inf    64         9.34     14.29   4.96       0/10
     inf   128         8.76     13.97   5.21       0/10
     inf   256        10.14     14.07   3.93       0/10
     inf   384        11.23     14.56   3.33       0/10
     inf   600        12.17     14.50   2.33       0/10
     inf  1024        14.29     15.45   1.16       0/10
     480     0         7.49     13.58   6.09       0/10
     480    64         9.34     14.29   4.96       0/10
     480   128         8.76     13.97   5.21       0/10
     480   256        10.14     14.07   3.93       0/10
     480   384        11.23     14.56   3.33       0/10
     480   600        12.17     14.50   2.33       0/10
     480  1024        14.29     15.45   1.16       0/10
