# needle probe, 25m_base (ckpt_scale_bytes_d256.pt, bytes, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         2.40     12.62  10.23       6/10
     inf    64         4.15     13.80   9.65       0/10
     inf   128         4.64     13.60   8.96       0/10
     inf   256         6.95     14.39   7.44       0/10
     inf   384         8.24     14.60   6.36       0/10
     inf   600        24.76     23.85  -0.91       0/10
     inf  1024        24.97     25.41   0.44       0/10
     480     0         2.40     12.62  10.23       6/10
     480    64         4.15     13.80   9.65       0/10
     480   128         4.64     13.60   8.96       0/10
     480   256         6.95     14.39   7.44       0/10
     480   384         8.24     14.60   6.36       0/10
     480   600        13.30     13.32   0.02       0/10
     480  1024        14.65     14.65   0.00       0/10
