# needle probe, 50m_base_w2 (ckpt_scale_bytes_d384.pt, bytes, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle; NEEDLES=banana,purple,rocket,pencil,tiger,window,silver,castle,honey,lantern SEED=1
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         2.31     11.54   9.22      10/10
     inf    64         4.04     13.31   9.28       2/10
     inf   128         3.93     13.37   9.44       1/10
     inf   256         5.61     13.51   7.90       0/10
     inf   384         6.78     13.76   6.98       0/10
     inf   600        19.36     21.43   2.07       0/10
     inf  1024        17.71     19.62   1.91       0/10
     480     0         2.31     11.54   9.22      10/10
     480    64         4.04     13.31   9.28       2/10
     480   128         3.93     13.37   9.44       1/10
     480   256         5.61     13.51   7.90       0/10
     480   384         6.78     13.76   6.98       0/10
     480   600        13.68     13.69   0.01       0/10
     480  1024        15.17     15.18   0.01       0/10
