# needle probe, 100m_base_w2 (ckpt_h100.pt, bytes, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle; NEEDLES=banana,purple,rocket,pencil,tiger,window,silver,castle,honey,lantern SEED=1
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         1.75     11.93  10.19      10/10
     inf    64         3.35     15.35  12.00       6/10
     inf   128         3.50     13.91  10.41       3/10
     inf   256         7.14     15.49   8.35       0/10
     inf   384         6.75     15.06   8.31       0/10
     inf   600        25.85     26.10   0.26       0/10
     inf  1024        17.97     20.07   2.10       0/10
     480     0         1.75     11.93  10.19      10/10
     480    64         3.35     15.35  12.00       6/10
     480   128         3.50     13.91  10.41       3/10
     480   256         7.14     15.49   8.35       0/10
     480   384         6.75     15.06   8.31       0/10
     480   600        14.50     14.50   0.00       0/10
     480  1024        16.39     16.39   0.00       0/10
