# needle probe, 100m_base (ckpt_h100.pt, bytes, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         1.80     11.69   9.89      10/10
     inf    64         3.40     15.19  11.79       5/10
     inf   128         3.55     13.73  10.17       4/10
     inf   256         6.94     15.65   8.70       0/10
     inf   384         6.52     15.15   8.63       0/10
     inf   600        27.20     27.44   0.24       0/10
     inf  1024        18.08     20.37   2.29       0/10
     480     0         1.80     11.69   9.89      10/10
     480    64         3.40     15.19  11.79       5/10
     480   128         3.55     13.73  10.17       4/10
     480   256         6.94     15.65   8.70       0/10
     480   384         6.52     15.15   8.63       0/10
     480   600        14.43     14.43  -0.00       0/10
     480  1024        16.09     16.09   0.00       0/10
