# needle probe, 25m_base_w2 (ckpt_scale_bytes_d256.pt, bytes, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle; NEEDLES=banana,purple,rocket,pencil,tiger,window,silver,castle,honey,lantern SEED=2
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         2.26     12.58  10.32       6/10
     inf    64         4.92     13.24   8.32       0/10
     inf   128         4.90     14.36   9.46       0/10
     inf   256         7.09     15.45   8.36       0/10
     inf   384         7.44     14.74   7.29       0/10
     inf   600        24.37     22.83  -1.54       0/10
     inf  1024        24.21     24.42   0.21       0/10
     480     0         2.26     12.58  10.32       6/10
     480    64         4.92     13.24   8.32       0/10
     480   128         4.90     14.36   9.46       0/10
     480   256         7.09     15.45   8.36       0/10
     480   384         7.44     14.74   7.29       0/10
     480   600        15.94     15.91  -0.04       0/10
     480  1024        15.70     15.70   0.00       0/10
