# needle probe, 100m_chat_v2 (ckpt_h100_chat_v2.pt, bytes, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         5.03     14.25   9.22       0/3
     inf    64         6.81     25.19  18.38       0/3
     inf   128         4.81     15.49  10.68       0/3
     inf   256         6.25     19.38  13.13       0/3
     inf   384         5.56     19.94  14.38       0/3
     inf   600        36.66     35.75  -0.90       0/3
     inf  1024        25.47     30.30   4.82       0/3
     480     0         5.03     14.25   9.22       0/3
     480    64         6.81     25.19  18.38       0/3
     480   128         4.81     15.49  10.68       0/3
     480   256         6.25     19.38  13.13       0/3
     480   384         5.56     19.94  14.38       0/3
     480   600        19.77     19.80   0.02       0/3
     480  1024        20.72     20.71  -0.01       0/3
