# needle probe, bpe50m_base_w2 (ckpt_scale_bpe_d384.pt, bpe8k, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle; NEEDLES=banana,purple,rocket,pencil,tiger,window,silver,castle,honey,lantern SEED=1
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         3.52     13.31   9.79       4/10
     inf    64         6.00     15.03   9.03       2/10
     inf   128         5.01     13.30   8.29       1/10
     inf   256         7.48     14.77   7.28       0/10
     inf   384         9.12     15.33   6.20       0/10
     inf   600         8.41     14.32   5.91       0/10
     inf  1024        11.16     15.93   4.76       0/10
     480     0         3.52     13.31   9.79       4/10
     480    64         6.00     15.03   9.03       2/10
     480   128         5.01     13.30   8.29       1/10
     480   256         7.48     14.77   7.28       0/10
     480   384         9.12     15.33   6.20       0/10
     480   600         8.41     14.32   5.91       0/10
     480  1024        11.16     15.93   4.76       0/10
