# needle probe, bpe25m_base_w2 (ckpt_scale_bpe_d256.pt, bpe8k, distances in characters), fp32 cuda; nats = -log p of ' <word>.' after 'The secret word is' ; baseline = same filler, no needle; NEEDLES=banana,purple,rocket,pencil,tiger,window,silver,castle,honey,lantern SEED=0
  window  dist  needle nats  baseline   gain  top1 recall
     inf     0         7.49     13.58   6.09       0/10
     inf    64         7.79     13.25   5.46       0/10
     inf   128         7.84     12.97   5.13       0/10
     inf   256        10.54     14.06   3.52       0/10
     inf   384        10.68     14.20   3.52       0/10
     inf   600        11.34     14.04   2.70       0/10
     inf  1024        12.93     14.24   1.31       0/10
     480     0         7.49     13.58   6.09       0/10
     480    64         7.79     13.25   5.46       0/10
     480   128         7.84     12.97   5.13       0/10
     480   256        10.54     14.06   3.52       0/10
     480   384        10.68     14.20   3.52       0/10
     480   600        11.34     14.04   2.70       0/10
     480  1024        12.93     14.24   1.31       0/10
